elo,games,remakes,playing_time,kills,deaths,assists,gold,pentakills,wards,minions,damage,champion_1,champion_2,champion_3
Bronze III,92,9,2.0,650,824,691,995.4k,0,897,9.8k,1.7m,Katarina,Xin Zhao,Morgana
Bronze I,6,2,2.9,32,25,43,63.0k,0,53,913,76.3k,"KaiSa",Xayah,Fiora
Bronze II,10,1,5.5,60,69,101,111.0k,0,132,1.2k,220.1k,Leona,Kled,Morgana
Bronze II,46,2,1.0,106,333,525,395.1k,0,456,2.9k,492.2k,Morgana,Soraka,Kayle
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Morgana,Aatrox,Ahri
Bronze III,1,0,15.6,1,3,0,3.2k,0,10,13,1.5k,Nami,Neeko,Morgana
Bronze II,0,0,0.0,0,0,0,0,0,0,0,0,Morgana,Braum,Janna
Bronze II,0,0,0.0,0,0,0,0,0,0,0,0,Shaco,Tryndamere,Ryze
Bronze II,0,0,0.0,0,0,0,0,0,0,0,0,Ezreal,Zac,Leona
Gold III,55,5,1.2,166,238,840,538.9k,0,1.4k,2.2k,681.3k,Vayne,Katarina,Ezreal
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Darius,Yasuo,Blitzcrank
Unranked,1,1,40.2,10,4,9,15.3k,0,14,206,43.9k,Aatrox,Ahri,Akali
Silver II,0,0,0.0,0,0,0,0,0,0,0,0,Quinn,Karma,Miss Fortune
Silver I,27,0,14.3,123,158,179,312.9k,0,309,4.3k,317.4k,Udyr,Brand,Ashe
Silver III,0,0,0.0,0,0,0,0,0,0,0,0,Riven,Jax,Neeko
Silver I,17,0,8.1,123,93,112,200.7k,0,147,3.2k,335.3k,Lux,Sivir,Irelia
Platinum I,0,0,0.0,0,0,0,0,0,0,0,0,Mordekaiser,Master Yi,Lux
Bronze II,0,0,0.0,0,0,0,0,0,0,0,0,Yasuo,Irelia,Master Yi
Silver II,1,0,40.0,6,9,7,14.8k,0,7,245,24.1k,Aatrox,Ahri,Akali
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Blitzcrank,Braum,Garen
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Irelia,Ekko,Yasuo
Silver II,0,0,0.0,0,0,0,0,0,0,0,0,Caitlyn,Ezreal,Ashe
Silver II,0,0,0.0,0,0,0,0,0,0,0,0,Kayle,Kindred,Zyra
Silver II,4,0,2.4,25,25,26,51.4k,0,38,667,53.9k,Jinx,Singed,Kindred
Silver III,4,1,1.8,20,20,10,40.5k,0,29,673,59.2k,Aatrox,Ahri,Akali
Silver III,110,8,2.4,537,568,877,1.2m,0,1.6k,15.6k,1.8m,Aatrox,Ahri,Akali
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Sona,Nami,Morgana
Bronze I,1,0,15.7,1,3,1,4.3k,0,3,57,3.6k,Nasus,Varus,Miss Fortune
Silver IV,41,6,22.0,364,256,363,506.3k,0,385,5.6k,862.2k,Evelynn,Vi,Lulu
Silver III,25,1,12.9,152,107,191,292.3k,0,288,3.9k,438.0k,Gnar,"KhaZix",Jinx
Silver III,21,1,11.4,170,110,178,262.5k,0,212,3.6k,454.2k,Thresh,Vayne,Shaco
Unranked,15,0,7.8,119,105,107,190.6k,0,116,2.5k,323.6k,Hecarim,"VelKoz",Lux
Silver I,1,0,37.1,7,6,15,14.7k,0,14,222,42.2k,Aatrox,Ahri,Akali
Silver II,12,0,6.0,109,69,107,140.5k,0,84,1.7k,270.3k,Jinx,Fizz,Vayne
Bronze IV,46,5,1.0,264,320,380,517.8k,0,377,6.5k,765.3k,Ashe,Tristana,Jinx
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Ahri,Lulu,Gnar
Gold IV,53,3,1.1,326,306,510,587.8k,0,536,7.7k,1.2m,Braum,Katarina,Sona
Silver II,6,0,3.3,32,40,47,68.5k,0,80,1.0k,108.6k,"KhaZix",Master Yi,Vayne
Gold II,55,5,1.2,435,235,367,698.8k,0,580,9.7k,864.5k,Sona,Hecarim,Olaf
Gold III,148,11,3.2,1.1k,796,1.3k,1.9m,1,1.8k,25.7k,3.0m,Karthus,Hecarim,Kayn
Gold IV,59,2,1.2,114,287,777,485.4k,0,769,1.1k,520.8k,Janna,Yasuo,Karma
Gold II,359,27,7.2,2.5k,2.2k,2.0k,4.5m,0,2.9k,65.4k,7.2m,Draven,Nocturne,Lee Sin
Gold III,6,0,3.6,56,51,55,76.6k,0,97,193,95.9k,Fiora,Akali,Gangplank
Gold II,0,0,0.0,0,0,0,0,0,0,0,0,Lux,Janna,Nami
Gold II,4,0,2.0,17,33,15,41.9k,0,36,625,58.1k,Katarina,Lux,Ahri
Gold I,17,0,8.9,67,74,142,189.7k,0,185,3.1k,309.2k,Ryze,Zilean,Jarvan IV
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Akali,Trundle,Yorick
Gold IV,16,0,9.3,85,163,177,187.4k,0,269,1.6k,358.5k,Draven,Xin Zhao,Lux
Gold II,11,0,4.9,78,45,81,119.5k,0,64,1.7k,218.3k,Aatrox,Ahri,Akali
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Riven,Thresh,Master Yi
Platinum IV,7,0,2.6,42,26,46,71.1k,0,38,1.1k,103.9k,Riven,Diana,Ezreal
Gold IV,64,4,1.3,485,390,411,792.3k,0,637,11.5k,1.2m,Aatrox,Ahri,Akali
Gold I,20,0,9.7,130,141,149,225.0k,1,259,2.8k,334.2k,Yasuo,Katarina,Thresh
Gold IV,39,1,19.6,331,294,264,453.3k,0,348,5.7k,815.9k,Akali,Yasuo,Garen
Unranked,56,1,1.2,310,261,463,615.7k,0,798,6.8k,880.8k,Sona,Yasuo,Lulu
Gold III,17,1,8.5,105,111,137,190.0k,1,214,2.2k,270.4k,Lee Sin,Rengar,Jayce
Gold IV,10,1,4.7,100,71,58,123.0k,0,66,1.5k,204.5k,Sona,Braum,Tristana
Gold I,1,0,38.5,0,0,0,5.4k,0,0,19,140,Leona,Nami,Thresh
Gold I,17,0,8.6,134,112,138,202.0k,0,137,2.8k,353.9k,"KogMaw",Vayne,Lucian
Gold III,0,0,0.0,0,0,0,0,0,0,0,0,Vladimir,Mordekaiser,Aatrox
Silver I,18,0,9.6,165,76,164,249.9k,0,212,3.5k,527.1k,Aatrox,Ahri,Akali
Gold II,8,0,4.4,40,34,100,94.7k,0,77,1.3k,109.7k,Ekko,Caitlyn,Lee Sin
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Gold III,8,0,4.1,46,46,62,92.0k,0,67,1.3k,129.0k,Alistar,Renekton,Master Yi
Gold IV,19,0,9.0,202,96,80,244.9k,0,136,3.2k,384.6k,Fiora,Draven,Vayne
Gold I,71,4,1.5,543,366,584,870.6k,0,709,12.0k,1.4m,Vayne,Lee Sin,Twisted Fate
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Xin Zhao,Alistar,Varus
Gold I,43,3,21.3,275,252,293,545.3k,0,421,8.4k,881.4k,Kayle,Janna,Riven
Platinum IV,222,9,4.5,1.3k,1.3k,1.4k,2.4m,0,2.1k,33.9k,5.0m,Teemo,Veigar,Yasuo
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Unranked,20,1,9.7,144,96,130,223.8k,0,151,3.3k,371.1k,Riven,Yasuo,Lucian
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Sion,Ryze,Urgot
Diamond IV,13,0,6.1,69,53,87,136.1k,0,72,2.0k,153.1k,"KhaZix",Hecarim,Kindred
Platinum IV,111,2,2.3,359,724,1.2k,1.1m,0,660,14.0k,1.2m,Zac,Jinx,Thresh
Platinum IV,12,0,6.1,120,69,82,151.6k,0,101,1.8k,240.9k,Zyra,Urgot,Annie
Platinum IV,13,0,5.8,96,87,92,126.1k,0,202,565,157.8k,Pyke,Katarina,Zoe
Platinum II,13,1,6.8,73,74,172,150.1k,0,153,2.2k,255.1k,Shen,Ezreal,Lee Sin
Platinum II,23,1,10.5,65,118,209,197.3k,0,412,777,332.8k,Zyra,Lulu,Braum
Platinum I,19,0,8.5,45,96,251,154.1k,0,334,229,157.4k,Riven,Vayne,Katarina
Platinum II,16,0,7.2,104,74,146,179.9k,0,175,2.4k,276.9k,Aatrox,Ahri,Akali
Platinum IV,22,0,10.0,137,62,116,228.2k,0,203,3.4k,297.9k,Ahri,Riven,LeBlanc
Platinum I,0,0,0.0,0,0,0,0,0,0,0,0,Wukong,Kassadin,Kayle
Gold III,12,0,5.9,33,63,149,98.3k,0,184,132,92.1k,Thresh,Darius,Janna
Platinum I,29,3,14.9,188,173,277,339.4k,0,419,4.0k,516.6k,Morgana,Master Yi,Lux
Platinum III,9,0,4.5,65,56,60,110.5k,0,61,1.7k,156.2k,Darius,Riven,Vayne
Platinum II,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Platinum IV,91,4,1.8,943,516,580,1.2m,1,527,16.1k,2.0m,Vayne,Riven,Rengar
Platinum III,13,1,6.3,80,38,114,140.3k,0,107,1.9k,210.8k,Kayle,Lux,Blitzcrank
Platinum IV,30,1,14.6,188,203,322,326.2k,0,250,3.7k,400.5k,Hecarim,Skarner,Master Yi
Platinum II,60,3,1.1,686,424,268,770.0k,5,539,9.8k,1.3m,Master Yi,"KhaZix",Rengar
Platinum III,0,0,0.0,0,0,0,0,0,0,0,0,Yasuo,Lee Sin,Ekko
Platinum IV,2,1,1.3,22,20,19,30.7k,0,17,380,69.7k,Sona,Janna,Nami
Platinum IV,10,0,5.3,69,52,98,120.6k,0,118,1.6k,210.9k,Poppy,Caitlyn,Illaoi
Platinum IV,16,0,7.4,57,86,112,132.1k,0,200,1.1k,184.4k,Nautilus,Brand,Leona
Platinum III,171,8,3.6,1.1k,966,1.4k,2.1m,0,1.4k,31.4k,3.1m,Vayne,Jinx,"KogMaw"
Gold I,39,2,20.1,328,277,252,450.1k,0,316,4.9k,864.3k,Tahm Kench,Swain,Warwick
Platinum IV,154,5,3.1,683,799,1.5k,1.5m,0,2.4k,16.0k,2.2m,Zyra,Morgana,Poppy
Platinum I,1,0,15.2,0,2,1,3.0k,0,3,28,735,Kassadin,Kayle,Zilean
Silver I,3,1,2.0,17,27,36,38.5k,0,48,466,66.7k,Aatrox,Ahri,Akali
Diamond III,2,0,57.7,18,19,7,23.0k,0,16,309,35.2k,Aatrox,Ahri,Akali
Diamond IV,4,0,1.8,4,7,41,29.2k,0,87,35,22.1k,Aatrox,Ahri,Akali
Diamond III,94,2,1.8,272,554,1.1k,826.8k,0,2.3k,4.1k,1.0m,Sona,Riven,Yasuo
Diamond IV,44,1,22.5,283,201,383,520.4k,0,527,6.9k,793.2k,Aatrox,Ahri,Akali
Diamond IV,137,4,2.7,1.1k,824,805,1.6m,0,1.2k,21.8k,2.7m,Urgot,Thresh,Kled
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Vayne,Lucian,Riven
Diamond IV,326,16,6.5,988,1.4k,3.4k,3.0m,0,7.2k,22.3k,3.1m,Sona,Thresh,Caitlyn
Diamond IV,14,0,7.2,60,78,148,146.8k,0,150,1.6k,182.3k,Jax,Gangplank,Talon
Diamond IV,38,2,18.6,177,247,312,343.7k,0,1.0k,2.5k,388.5k,Yasuo,Thresh,Zed
