
('Bronze I ', '33', '1', '16.6', '113', '216', '228', '295.0k', '0', '328', '3.1k', '433.9k', 'Gnar', 'Singed', 'Karma')
('Bronze I ', '1', '0', '29.0', '9', '5', '5', '9.2k', '0', '9', '113', '20.0k', 'Shen', 'Leona', 'Zoe')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Katarina', 'Jhin', 'Ashe')
('Bronze IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', "Kha'Zix", 'Kindred', 'Sylas')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Jinx', 'Jhin', 'Lux')
('Bronze I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Aatrox', 'Ahri', 'Akali')
('Bronze II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Lux', 'Teemo', 'Nami')
('Bronze IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Yasuo', 'Volibear', 'Blitzcrank')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Veigar', 'Lux', 'Nasus')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Teemo', 'Blitzcrank', 'Katarina')
('Bronze I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Yasuo', 'Katarina', 'Xayah')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Tryndamere', 'Malphite', 'Jarvan IV')
('Bronze IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Vayne', 'Swain', 'Talon')
('Bronze II ', '4', '0', '2.3', '30', '24', '41', '49.7k', '0', '42', '552', '91.1k', 'Aatrox', 'Ahri', 'Akali')
('Bronze II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Zac', 'Warwick', 'Janna')
('Bronze I ', '3', '0', '1.5', '14', '19', '43', '27.8k', '0', '20', '310', '55.9k', 'Yasuo', 'Darius', 'Karma')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Sivir', 'Vayne', 'Aatrox')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Caitlyn', 'Anivia', 'Ahri')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Thresh', 'Zyra', 'Udyr')
('Bronze IV ', '14', '0', '6.8', '62', '98', '130', '130.1k', '0', '135', '1.0k', '151.5k', 'Thresh', 'Sona', 'Ziggs')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Miss Fortune', 'Quinn', 'Graves')
('Bronze IV ', '14', '0', '7.1', '95', '123', '92', '145.5k', '0', '70', '1.5k', '238.0k', 'Aatrox', 'Ahri', 'Akali')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Shaco', 'Teemo', 'Amumu')
('Unranked ', '10', '0', '5.2', '75', '84', '122', '110.0k', '0', '114', '690', '143.6k', 'Nasus', 'Udyr', 'Sion')
('Silver IV ', '3', '0', '1.3', '10', '14', '23', '21.5k', '0', '32', '48', '34.8k', 'Aatrox', 'Ahri', 'Akali')
('Silver I ', '7', '0', '3.0', '47', '47', '55', '64.4k', '0', '41', '736', '107.2k', 'Pyke', 'Kayn', 'Lux')
('Silver III ', '3', '1', '1.5', '3', '20', '35', '22.8k', '0', '47', '71', '30.2k', 'Aatrox', 'Ahri', 'Akali')
('Silver I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Gragas', 'Zac', 'Ryze')
('Silver IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Aatrox', 'Ahri', 'Akali')
('Silver IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Lux', 'Pyke', 'Xayah')
('Silver III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Aatrox', 'Ahri', 'Akali')
('Silver II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Pyke', 'Rakan', 'Karthus')
('Bronze III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Aatrox', 'Ahri', 'Akali')
('Silver I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Lux', 'Ahri', 'Jinx')
('Silver II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Draven', 'Jinx', 'Lucian')
