
('Bronze II ', '79', '3', '1.7', '399', '566', '583', '805.5k', '0', '424', '9.9k', '1.3m', 'Hecarim', 'Thresh', 'Xin Zhao')
('Bronze I ', '70', '3', '1.5', '226', '357', '807', '627.5k', '0', '1.2k', '2.6k', '796.0k', 'Soraka', 'Neeko', 'Lux')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Jax', 'Olaf', 'Gnar')
('Iron I ', '140', '2', '3.0', '852', '867', '927', '1.4m', '0', '1.2k', '14.7k', '2.2m', 'Fizz', 'Leona', 'Miss Fortune')
('Unranked ', '11', '1', '5.1', '33', '75', '108', '89.7k', '0', '88', '723', '148.4k', 'Elise', 'Ahri', 'Xayah')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Yasuo', 'Lee Sin', 'Ekko')
('Bronze III ', '22', '1', '12.1', '128', '183', '253', '227.5k', '0', '278', '533', '270.8k', 'Braum', 'Jhin', "Vel'Koz")
('Unranked ', '32', '2', '16.5', '219', '170', '191', '360.8k', '0', '214', '5.3k', '667.4k', 'Graves', 'Diana', 'Teemo')
('Bronze IV ', '15', '1', '7.6', '49', '93', '199', '143.8k', '0', '244', '1.0k', '155.5k', 'Braum', 'Viktor', 'Varus')
('Bronze III ', '90', '7', '1.9', '426', '526', '515', '982.8k', '0', '431', '12.7k', '1.1m', 'Udyr', 'Leona', 'Kennen')
('Unranked ', '87', '3', '1.8', '506', '611', '732', '863.1k', '0', '1.1k', '8.3k', '1.5m', 'Yorick', 'Ekko', 'Gnar')
('Bronze IV ', '62', '1', '1.3', '303', '515', '363', '596.3k', '0', '533', '6.4k', '890.1k', 'Rammus', 'Pyke', 'Xin Zhao')
('Bronze IV ', '20', '1', '10.3', '31', '144', '261', '156.2k', '0', '403', '417', '145.9k', 'Thresh', 'Garen', 'Alistar')
('Bronze IV ', '3', '0', '1.4', '5', '17', '12', '19.9k', '0', '24', '165', '22.7k', 'Tristana', 'Jinx', 'Lux')
('Bronze II ', '4', '0', '2.1', '11', '27', '26', '38.4k', '0', '30', '506', '56.2k', 'Lee Sin', 'Yasuo', 'Vayne')
('Bronze I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Fiddlesticks', 'Jhin', 'Pyke')
('Bronze I ', '25', '2', '12.7', '201', '144', '177', '321.2k', '0', '256', '4.9k', '541.0k', 'Tristana', 'Lucian', 'Caitlyn')
('Bronze II ', '3', '0', '1.4', '3', '17', '17', '17.5k', '0', '22', '61', '19.1k', 'Rakan', 'Lux', 'Nami')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Aatrox', 'Ahri', 'Akali')
('Bronze II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Sion', 'Garen', 'Pantheon')
('Bronze II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Yasuo', 'Katarina', 'Lux')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Brand', 'Dr. Mundo', 'Kennen')
('Unranked ', '2', '0', '51.3', '13', '7', '8', '21.1k', '0', '16', '307', '31.5k', 'Teemo', 'Draven', 'Ekko')
('Bronze IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Ahri', 'Aurelion Sol', 'Yasuo')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Lee Sin', 'Thresh', 'Ekko')
('Bronze II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Warwick', 'Rammus', 'Ahri')
('Bronze II ', '9', '0', '4.2', '45', '52', '47', '98.2k', '0', '66', '1.5k', '139.9k', 'Lee Sin', 'Yasuo', 'Vayne')
('Bronze II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Zed', 'Ezreal', 'Kayn')
('Bronze II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Jhin', 'Draven', 'Tristana')
('Unranked ', '6', '0', '3.5', '48', '42', '45', '81.8k', '0', '64', '1.1k', '136.6k', 'Talon', 'Master Yi', 'Irelia')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Tristana', 'Teemo', 'Warwick')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Garen', 'Morgana', 'Nasus')
('Bronze II ', '5', '0', '2.6', '26', '27', '65', '49.0k', '0', '92', '150', '75.5k', 'Ahri', 'Sona', 'Poppy')
('Silver III ', '1', '0', '27.8', '1', '3', '0', '7.1k', '0', '9', '141', '9.8k', 'Zyra', 'Teemo', 'Cassiopeia')
('Unranked ', '2', '0', '59.7', '12', '5', '14', '19.6k', '0', '17', '255', '35.4k', 'Lux', 'Tryndamere', 'Kennen')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Sona', 'Alistar', 'Janna')
('Bronze I ', '4', '0', '2.1', '15', '43', '41', '39.3k', '0', '35', '414', '71.9k', 'Ekko', 'Draven', 'Yasuo')
('Bronze I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Tahm Kench', 'Braum', 'Soraka')
('Bronze I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Fiora', 'Riven', 'Rengar')
('Unranked ', '4', '0', '2.3', '41', '36', '36', '50.0k', '0', '47', '570', '112.9k', 'Ryze', 'Orianna', 'Lux')
('Bronze I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Malphite', 'Sivir', 'Olaf')
('Bronze II ', '4', '0', '2.1', '28', '11', '17', '45.6k', '0', '27', '683', '65.7k', 'Tristana', 'Lucian', 'Caitlyn')
('Bronze II ', '36', '2', '19.3', '208', '205', '335', '400.6k', '0', '392', '5.5k', '784.7k', 'Illaoi', 'Braum', 'Ekko')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Lux', 'Ezreal', 'Katarina')
('Bronze I ', '2', '0', '52.8', '12', '16', '15', '19.8k', '0', '12', '249', '25.4k', 'Yasuo', 'Lucian', 'Thresh')
('Bronze II ', '2', '0', '1.1', '16', '8', '12', '23.8k', '0', '12', '293', '34.5k', 'Heimerdinger', 'Twisted Fate', 'Nautilus')
('Unranked ', '17', '0', '7.5', '158', '80', '74', '194.8k', '0', '102', '2.6k', '411.6k', 'Blitzcrank', 'Darius', 'Orianna')
('Bronze III ', '2', '0', '57.8', '3', '10', '22', '17.1k', '0', '15', '181', '19.4k', 'Warwick', 'Master Yi', 'Janna')
('Bronze I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Morgana', 'Annie', 'Blitzcrank')
('Unranked ', '107', '2', '2.3', '548', '648', '875', '1.1m', '0', '591', '12.2k', '1.5m', 'Caitlyn', 'Jinx', 'Ashe')
('Bronze I ', '11', '0', '5.5', '52', '59', '59', '125.5k', '0', '46', '1.9k', '131.0k', 'Miss Fortune', 'Caitlyn', 'Teemo')
('Gold IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Sona', 'Leona', 'Lulu')
('Unranked ', '7', '0', '3.3', '69', '25', '39', '75.4k', '0', '53', '867', '136.8k', 'LeBlanc', 'Rengar', 'Blitzcrank')
('Bronze I ', '1', '0', '22.2', '4', '3', '1', '7.0k', '0', '8', '128', '9.5k', 'Draven', 'Twisted Fate', 'Vayne')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Quinn', 'Sona', 'Ezreal')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Irelia', 'Fiora', 'Nasus')
('Bronze II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Thresh', 'Ezreal', 'Yasuo')
('Bronze II ', '45', '1', '1.0', '291', '274', '502', '489.3k', '0', '669', '4.7k', '817.1k', 'Fizz', 'Brand', 'Blitzcrank')
('Bronze I ', '1', '0', '15.9', '2', '1', '2', '4.8k', '0', '3', '86', '6.4k', 'Ekko', 'Lucian', 'Yasuo')
('Platinum IV ', '308', '3', '6.3', '2.4k', '1.8k', '2.1k', '3.6m', '1', '2.9k', '47.9k', '7.5m', 'Xerath', 'Fiora', 'Brand')
('Bronze I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Shen', 'Elise', 'Lucian')
('Bronze IV ', '66', '1', '1.4', '355', '406', '367', '663.7k', '0', '439', '8.3k', '1.1m', 'Teemo', 'Akali', 'Miss Fortune')
('Unranked ', '1', '0', '29.5', '1', '8', '6', '6.8k', '0', '12', '25', '9.0k', 'Teemo', 'Singed', 'Heimerdinger')
('Bronze II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Shaco', 'Zed', 'Lee Sin')
('Bronze I ', '2', '0', '56.2', '9', '11', '8', '19.0k', '0', '10', '288', '29.0k', 'Zed', 'Draven', 'Pantheon')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Sona', 'Nami', 'Lulu')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Leona', 'Caitlyn', 'Maokai')
('Bronze III ', '11', '0', '5.2', '33', '41', '143', '96.0k', '0', '109', '264', '130.0k', 'Sona', 'Evelynn', 'LeBlanc')
('Bronze I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Malzahar', 'Azir', 'Zilean')
('Unranked ', '5', '0', '2.4', '18', '39', '23', '44.2k', '0', '30', '604', '66.9k', 'Lux', 'LeBlanc', 'Ahri')
('Silver III ', '374', '15', '8.0', '2.0k', '2.0k', '2.7k', '4.0m', '1', '4.5k', '51.5k', '6.2m', 'Blitzcrank', 'Thresh', 'Yasuo')
('Silver II ', '1', '0', '26.4', '4', '1', '5', '8.4k', '0', '21', '9', '9.2k', 'Ashe', 'Lux', 'Miss Fortune')
('Silver II ', '34', '0', '16.2', '180', '189', '312', '347.1k', '0', '591', '3.7k', '531.8k', "Vel'Koz", 'Xayah', 'Ahri')
('Unranked ', '15', '0', '7.5', '50', '48', '76', '147.9k', '0', '155', '2.4k', '213.0k', 'Gnar', 'Morgana', 'Teemo')
('Silver III ', '9', '0', '4.4', '37', '51', '56', '92.5k', '0', '45', '1.5k', '138.6k', 'Lux', 'Jhin', 'Master Yi')
('Silver III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Caitlyn', 'Warwick', 'Talon')
('Silver III ', '93', '1', '2.0', '666', '669', '703', '1.1m', '0', '549', '13.9k', '1.9m', 'Kalista', 'Yasuo', 'Vayne')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Nautilus', 'Illaoi', 'Jarvan IV')
('Silver II ', '152', '6', '3.2', '539', '848', '1.5k', '1.5m', '0', '2.2k', '15.7k', '1.7m', 'Rammus', 'Leona', 'Thresh')
('Unranked ', '12', '0', '5.9', '64', '77', '159', '132.9k', '0', '120', '1.5k', '165.0k', 'Morgana', 'Lucian', 'Evelynn')
